seed edbe610dfd4e71aa
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
1.799766 0.085425 0.000405
1.816412 0.070150 0.001438
1.833248 0.135452 0.005250
1.849951 0.140480 0.001944
1.866338 0.131716 0.001594
1.883420 0.134492 0.002199
1.899938 0.115001 0.001212
1.916654 0.107560 0.001511
1.936741 0.146800 0.004061
1.949417 0.133593 0.001437
1.968788 0.135956 0.002259
1.983944 0.117893 0.001419
2.001410 0.144886 0.003519
2.017131 0.102450 0.000425
2.036517 0.118638 0.002996
2.051040 0.152063 0.003240
2.066006 0.135608 0.001328
2.082857 0.132923 0.001986
2.099342 0.147751 0.003106
2.116246 0.132234 0.001426
2.132994 0.117330 0.001357
2.149723 0.117540 0.002562
2.166341 0.128816 0.002680
2.183155 0.115322 0.001427
2.199605 0.107322 0.001655
2.216384 0.127568 0.003091
2.232819 0.119087 0.001563
2.249297 0.101652 0.001134
2.266360 0.123429 0.003128
2.283229 0.132506 0.002440
2.299207 0.118591 0.001314
2.316329 0.134961 0.002934
2.332932 0.151375 0.002868
2.349373 0.112738 0.000413
2.366139 0.118987 0.002444
2.383020 0.123876 0.002399
2.399330 0.112382 0.001533
2.416392 0.129323 0.002913
2.432810 0.128338 0.002040
2.449555 0.142768 0.002755
2.466130 0.144739 0.002275
2.483174 0.145486 0.002256
2.499665 0.122380 0.001216
2.516234 0.105985 0.001474
2.532965 0.103288 0.001992
2.549574 0.113409 0.002524
2.566164 0.118510 0.002420
2.583200 0.120542 0.002016
2.599441 0.145185 0.003492
2.616370 0.145185 0.000000
2.632667 0.149435 0.003667
2.649754 0.140294 0.001900
2.665714 0.126388 0.001490
2.682479 0.150417 0.003573
2.699090 0.164300 0.002945
2.715752 0.163953 0.002431
2.732312 0.135971 0.001721
2.749159 0.126029 0.002027
2.765753 0.120176 0.002144
2.782671 0.128254 0.002730
2.799087 0.136075 0.002598
2.815863 0.118440 0.001382
2.832372 0.145413 0.003512
2.849155 0.124824 0.001182
2.865728 0.116296 0.001848
2.882496 0.124299 0.002629
2.898994 0.121904 0.001998
2.915869 0.125647 0.002197
2.932338 0.140306 0.002926
2.949062 0.097499 0.000599
2.965767 0.097678 0.002142
2.982569 0.098468 0.001956
2.998977 0.122730 0.003120
3.015873 0.147060 0.003148
3.032461 0.122585 0.001129
3.049109 0.135479 0.002813
3.065732 0.124943 0.001779
3.082351 0.121817 0.002072
3.099013 0.153282 0.003327
3.115623 0.145973 0.002033
3.132296 0.143793 0.002081
3.149058 0.110057 0.000703
3.165547 0.111258 0.002248
3.182440 0.111258 0.000000
3.198950 0.105144 0.002887
3.215698 0.112950 0.003681
3.232356 0.134637 0.003054
3.249749 0.114529 0.001114
3.265892 0.131157 0.002404
3.282735 0.117755 0.001579
3.299126 0.126669 0.002220
3.316243 0.118689 0.002235
3.332504 0.136749 0.001766
3.349449 0.142845 0.002605
3.365933 0.136737 0.001257
3.382741 0.133134 0.001963
3.399313 0.127520 0.002056
3.415926 0.141089 0.002849
3.432472 0.125365 0.001419
3.449171 0.159246 0.003970
3.465795 0.135478 0.001262
3.482881 0.115343 0.001274
3.499236 0.103095 0.001730
3.515839 0.113832 0.002659
3.533953 0.105822 0.001596
3.548897 0.102166 0.001842
3.565808 0.123273 0.002909
3.582237 0.125234 0.001967
3.600651 0.104635 0.000953
3.615525 0.088606 0.001143
3.634708 0.105874 0.002788
3.648789 0.120697 0.002473
3.665359 0.106970 0.001106
3.682156 0.126515 0.002805
3.698984 0.114583 0.001299
3.715632 0.111283 0.001755
3.732509 0.100213 0.001482
3.749258 0.124022 0.003207
3.773959 0.115925 0.001534
3.782142 0.140766 0.003145
3.798823 0.149964 0.002850
3.815413 0.129627 0.001114
3.832256 0.107435 0.001210
3.848909 0.121012 0.002737
3.865387 0.135253 0.002711
3.882445 0.125367 0.001690
3.899375 0.136016 0.002686
3.915829 0.129835 0.001828
3.932391 0.112625 0.001307
3.949140 0.112700 0.002114
3.965695 0.115172 0.002272
3.982314 0.101201 0.001265
3.999106 0.111448 0.002564
4.015680 0.121132 0.002293
4.032006 0.125655 0.002163
4.048738 0.123782 0.001818
4.065457 0.098891 0.000847
4.081950 0.152565 0.004613
4.098975 0.121137 0.000448
4.115329 0.127388 0.002461
4.132184 0.114028 0.001405
4.148566 0.118851 0.002323
4.165490 0.107072 0.001451
4.181935 0.133522 0.003288
4.198618 0.141242 0.002466
4.215293 0.134456 0.001747
4.232069 0.117858 0.001364
4.248681 0.130853 0.003036
4.265463 0.132358 0.002292
4.282176 0.127601 0.001888
4.299024 0.132077 0.002505
4.315578 0.129434 0.002035
4.332532 0.100021 0.000682
4.349103 0.115460 0.002990
4.365778 0.107480 0.001565
4.382561 0.107480 0.000000
4.398752 0.113951 0.004962
4.415185 0.128031 0.002641
4.432170 0.147158 0.002947
4.448620 0.134103 0.001573
4.465174 0.112944 0.001121
4.481942 0.104977 0.001776
4.498601 0.105797 0.002108
4.515256 0.135468 0.003431
4.531912 0.126538 0.001602
4.548545 0.121447 0.001791
4.565190 0.118882 0.002201
4.581787 0.099383 0.001028
4.598592 0.101191 0.002070
4.615142 0.105886 0.002283
4.632076 0.122069 0.002597
4.648561 0.158159 0.003679
4.665296 0.146083 0.001408
4.681724 0.122812 0.001189
4.698704 0.106565 0.001398
4.715187 0.087504 0.001322
4.731789 0.109517 0.003160
4.748429 0.133405 0.003025
4.765275 0.139580 0.002183
4.781889 0.100340 0.000299
4.798532 0.107273 0.002331
4.815167 0.096164 0.001392
4.831928 0.119538 0.002846
4.848421 0.108084 0.001278
4.865279 0.121751 0.002637
4.883248 0.127712 0.002177
4.898746 0.136342 0.002275
4.915458 0.136025 0.001960
4.932044 0.122111 0.001461
4.948565 0.116607 0.001831
4.965305 0.129232 0.002782
4.981893 0.139292 0.002674
4.998681 0.137282 0.002092
5.015238 0.119885 0.001313
Speed: 20
0.021165 0.017152 0.000436
0.040804 0.013040 0.000558
0.050029 0.007754 0.000586
0.066588 0.012861 0.000177
0.083222 0.022813 0.000476
0.100118 0.022813 0.000000
0.118038 0.039918 0.001296
0.133309 0.032655 0.000229
0.150648 0.086308 0.003618
0.168469 0.137959 0.003654
0.183317 0.226691 0.004619
0.199986 0.267415 0.003557
0.218633 0.267415 0.000000
0.234765 0.363900 0.010089
0.250396 0.352644 0.003415
0.266636 0.367693 0.005348
0.283225 0.417643 0.008507
0.299851 0.360140 0.002581
0.316530 0.331498 0.004677
0.333450 0.296526 0.004136
0.350011 0.310444 0.006463
0.365630 0.308425 0.005369
0.382225 0.298643 0.004478
0.398907 0.312363 0.006013
0.415326 0.301899 0.004647
0.432150 0.309500 0.005670
0.450524 0.331587 0.006297
0.466624 0.303270 0.004082
0.483305 0.287816 0.004404
0.500749 0.288424 0.005825
0.517487 0.299388 0.006454
0.533933 0.355338 0.005659
0.551959 0.349824 0.004590
0.566571 0.377197 0.006875
0.584149 0.342286 0.003651
0.599837 0.360343 0.006604
0.616519 0.323274 0.004022
0.633099 0.355497 0.007244
0.649848 0.353725 0.005595
0.666518 0.315378 0.003879
0.683106 0.360019 0.007959
0.699880 0.296281 0.002462
0.716570 0.315463 0.006788
0.733113 0.317076 0.005457
0.749867 0.305328 0.004881
0.766482 0.349129 0.007517
0.783106 0.325787 0.004284
0.799727 0.337805 0.005841
0.816484 0.317856 0.004557
0.833108 0.331875 0.006054
0.849753 0.355855 0.006695
0.866465 0.335150 0.004487
0.883077 0.343435 0.006110
0.900602 0.340594 0.005385
0.918433 0.337338 0.005506
0.933147 0.330586 0.005388
0.949799 0.326548 0.005421
0.966333 0.338081 0.006171
0.983041 0.318019 0.004535
1.000478 0.304642 0.004940
1.016303 0.325538 0.006432
1.033062 0.330311 0.005579
1.051403 0.309918 0.004359
1.066301 0.338350 0.007652
1.083014 0.328697 0.004361
1.099620 0.332825 0.005757
1.116318 0.338030 0.005746
1.132990 0.327708 0.005028
1.149667 0.325394 0.005391
1.166331 0.311857 0.005378
1.182833 0.334280 0.005844
1.201119 0.345293 0.005909
1.216425 0.360043 0.006253
1.232923 0.335605 0.004464
1.250049 0.352614 0.006550
1.266403 0.344242 0.005277
1.283111 0.340533 0.005675
1.299972 0.328354 0.005291
1.316542 0.324678 0.005339
1.333277 0.333888 0.006141
1.349889 0.306683 0.004082
1.366534 0.305712 0.005691
1.386134 0.322218 0.006887
1.402331 0.320426 0.004724
1.417021 0.309812 0.005424
1.432733 0.361898 0.006777
1.451708 0.334808 0.004137
1.466390 0.349039 0.006105
1.483166 0.346478 0.005504
1.500088 0.337246 0.005662
1.516337 0.337037 0.005460
1.532740 0.331716 0.004860
1.549668 0.335664 0.005904
1.566334 0.328871 0.005287
1.582927 0.337312 0.005949
1.600997 0.327523 0.005596
1.616042 0.312289 0.004453
1.632764 0.300054 0.005760
1.650455 0.317942 0.005496
1.666096 0.308296 0.004766
1.682789 0.325571 0.006095
1.699561 0.307460 0.004393
1.715976 0.330150 0.006062
1.732881 0.361045 0.006479
1.749297 0.352263 0.005025
1.766024 0.340002 0.004982
1.783050 0.331959 0.005232
1.799717 0.347480 0.006404
1.816180 0.337557 0.005355
1.833012 0.333603 0.005471
1.849488 0.324637 0.005161
1.866037 0.325158 0.005645
1.882645 0.342694 0.006434
1.899601 0.312327 0.004093
1.915997 0.322095 0.005941
1.932819 0.307950 0.004768
1.949690 0.350812 0.007487
1.966121 0.326696 0.004363
1.982657 0.339058 0.006071
1.999811 0.351940 0.006225
2.016014 0.335784 0.004766
2.032778 0.327052 0.005200
2.052207 0.320037 0.005403
2.066434 0.329624 0.006064
2.082865 0.318542 0.005279
2.099683 0.324021 0.005548
2.115987 0.338346 0.006090
2.132608 0.311814 0.004225
2.149239 0.357187 0.007783
2.166148 0.319763 0.003571
2.182833 0.323232 0.005622
2.199456 0.277061 0.003309
2.216077 0.287690 0.006046
2.232454 0.306806 0.005867
2.333174 0.312436 0.015448
2.349351 0.329799 0.023106
2.366110 0.318219 0.004878
2.383699 0.318482 0.005672
2.399141 0.333270 0.005844
2.415753 0.324771 0.004928
2.432423 0.301261 0.004425
2.449220 0.345609 0.007345
2.465823 0.327436 0.004961
2.482460 0.369475 0.006550
2.499190 0.336206 0.003759
2.516100 0.297904 0.004446
2.532590 0.376838 0.007320
2.549207 0.388290 0.005833
2.567242 0.396751 0.005926
2.582483 0.372287 0.004769
2.599174 0.341509 0.004434
2.616994 0.346314 0.006290
2.632424 0.337720 0.005594
2.649173 0.319386 0.004877
2.665834 0.301777 0.004925
2.682391 0.312534 0.006262
2.699051 0.312013 0.005285
2.716149 0.286726 0.005130
2.732542 0.354818 0.006293
2.752729 0.347580 0.005101
