seed 4f46adc760541d68
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
0.366548 0.315153 0.005783
0.383429 0.334914 0.006477
0.400188 0.356246 0.006528
0.417253 0.317855 0.003577
0.434044 0.305018 0.004920
0.451384 0.309636 0.005778
0.468586 0.324440 0.006141
0.483200 0.299245 0.003997
0.502121 0.296184 0.005101
0.516716 0.322572 0.006609
0.536577 0.330223 0.005600
0.549700 0.325351 0.004990
0.566426 0.300649 0.004141
0.583144 0.318919 0.006295
0.600055 0.340172 0.006365
0.616357 0.348779 0.005817
0.633344 0.360045 0.006024
0.649747 0.323837 0.003691
0.666966 0.348309 0.007124
0.683027 0.329682 0.005436
0.699732 0.320261 0.004180
0.717328 0.349127 0.007031
0.733084 0.323862 0.004278
0.752240 0.337214 0.006320
0.767435 0.327707 0.005054
0.785558 0.328565 0.005607
0.799991 0.366389 0.007584
0.816858 0.323758 0.003382
0.833008 0.361831 0.007669
0.851113 0.330592 0.004018
0.872772 0.327001 0.005501
0.882991 0.331640 0.006124
0.899779 0.287165 0.003701
0.916351 0.385151 0.008974
0.934158 0.342772 0.003229
0.950168 0.423170 0.007322
0.968104 0.410783 0.004720
0.982918 0.422474 0.006208
0.999681 0.388053 0.004935
1.016303 0.381751 0.004983
1.032874 0.384341 0.006520
1.049500 0.358067 0.005005
1.066235 0.339386 0.005459
1.082941 0.345974 0.006456
1.099879 0.322991 0.004846
1.116444 0.338445 0.006647
1.133038 0.318308 0.004740
1.149754 0.292683 0.005181
1.166606 0.325947 0.005893
1.183168 0.317885 0.005667
1.199864 0.342168 0.005376
1.216351 0.342112 0.005202
1.233106 0.325648 0.004563
1.250897 0.383274 0.008445
1.266319 0.379288 0.005332
1.285577 0.360140 0.004784
1.299867 0.377048 0.006905
1.318760 0.299431 0.001948
1.333088 0.320921 0.007071
1.349594 0.300838 0.004732
1.366749 0.292907 0.005128
1.383047 0.312506 0.006645
1.399641 0.312506 0.000000
1.416274 0.324214 0.011542
1.432990 0.279033 0.003378
1.449919 0.318639 0.006083
1.466302 0.331863 0.005754
1.482939 0.357780 0.006559
1.499748 0.355468 0.005150
1.516331 0.362314 0.005886
1.535056 0.334474 0.004158
1.549635 0.340714 0.006129
