seed 0625df82b164592b
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
3.332183 0.125457 0.002018
3.348975 0.113852 0.001480
3.365580 0.117538 0.002661
3.382231 0.114943 0.002164
3.398856 0.126214 0.003182
3.415599 0.108757 0.000516
3.432190 0.119513 0.003090
3.449112 0.121174 0.002061
3.465602 0.131397 0.002655
3.482207 0.134688 0.002022
3.498822 0.139591 0.002336
3.515609 0.129044 0.001253
3.532205 0.148706 0.003812
3.548830 0.165999 0.003243
3.565561 0.156075 0.001146
3.582211 0.147626 0.001941
3.598834 0.121419 0.000808
3.615432 0.120573 0.003123
3.632168 0.114757 0.002072
3.648840 0.098717 0.001242
3.665459 0.092610 0.002269
3.682173 0.103864 0.002751
3.698936 0.103705 0.001738
3.715460 0.116092 0.002606
3.732329 0.098527 0.000752
3.748802 0.129582 0.004473
3.765421 0.155864 0.003312
3.782193 0.157581 0.001790
3.798817 0.165210 0.002471
3.815455 0.153192 0.001236
3.831975 0.150665 0.002250
3.848993 0.141761 0.002066
3.865402 0.135224 0.002128
3.882133 0.120664 0.001619
3.898770 0.125536 0.003080
3.915435 0.119750 0.001811
3.932035 0.115927 0.002006
3.948798 0.106480 0.001431
3.965381 0.116528 0.002880
3.982234 0.106942 0.001112
3.998780 0.129899 0.003834
4.015488 0.128688 0.001440
4.032024 0.129595 0.001928
4.048672 0.121210 0.001305
4.065430 0.100694 0.000728
4.082247 0.100694 0.000000
4.098651 0.091386 0.002894
4.115644 0.092339 0.004603
4.132039 0.099520 0.002238
4.148645 0.110818 0.002412
4.165376 0.114161 0.001601
4.182234 0.130934 0.002984
4.198671 0.162421 0.003651
4.215437 0.164619 0.001513
4.232097 0.152401 0.000985
4.248757 0.136255 0.001479
4.270290 0.126685 0.001894
4.288577 0.126300 0.002843
4.299253 0.113997 0.001479
4.315216 0.122537 0.003497
4.331962 0.123582 0.002062
4.348568 0.127817 0.002426
4.365173 0.117756 0.001130
4.381946 0.098724 0.001219
4.398604 0.113317 0.003209
4.415181 0.140226 0.004040
4.431925 0.136372 0.001279
4.448573 0.145369 0.002917
4.465182 0.135820 0.001227
4.481781 0.122129 0.001309
4.498540 0.136001 0.003603
4.515209 0.142374 0.002531
4.531817 0.128612 0.001073
4.548555 0.127357 0.002367
4.565147 0.116144 0.001572
4.581815 0.105331 0.001695
4.598571 0.112529 0.003017
4.616291 0.117288 0.002558
4.631762 0.121254 0.002439
4.648422 0.128792 0.002209
4.665230 0.133198 0.002075
4.681851 0.132311 0.001884
