seed 70a266fb88669f73
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
1.206203 0.339378 0.013333
1.234257 0.468809 0.013900
1.266623 0.531951 0.014776
1.299791 0.438371 0.013465
1.333048 0.320601 0.012215
1.366389 0.326778 0.012859
1.399674 0.413969 0.013672
1.433084 0.445201 0.013407
1.467082 0.404396 0.013210
1.502104 0.349302 0.012968
1.535392 0.372244 0.013263
1.566107 0.484227 0.014548
1.599638 0.504714 0.014885
1.632916 0.401455 0.012984
1.666169 0.345514 0.013236
1.699568 0.376471 0.013468
1.732917 0.424228 0.013617
1.766112 0.427144 0.013403
1.799524 0.390522 0.012991
1.832915 0.389047 0.013601
1.866321 0.403657 0.013504
1.899869 0.404103 0.013313
1.933235 0.434149 0.014472
1.966304 0.433542 0.013849
1.999768 0.396525 0.013280
2.033038 0.377498 0.013172
2.066263 0.395933 0.013470
2.099941 0.401681 0.013219
2.133240 0.429712 0.014197
2.166291 0.409902 0.013110
2.199561 0.432563 0.014637
2.232899 0.394399 0.012773
2.266307 0.397817 0.013897
2.299514 0.368194 0.012111
2.332842 0.438294 0.015112
2.366215 0.462866 0.014279
2.405746 0.371510 0.014116
2.433635 0.426773 0.012803
2.466084 0.480083 0.014525
2.499323 0.443726 0.013872
2.532726 0.411679 0.014289
2.566125 0.372151 0.013004
2.601587 0.394431 0.014542
2.637383 0.391101 0.013654
2.666229 0.508967 0.014650
2.699799 0.473328 0.013517
2.732796 0.411622 0.014174
2.766133 0.367121 0.013232
2.800904 0.395034 0.014534
2.836336 0.413980 0.014168
2.866146 0.479594 0.014087
2.899515 0.464415 0.014295
2.932820 0.398554 0.013498
2.968205 0.329801 0.012898
2.999447 0.450087 0.015010
3.032712 0.515104 0.014962
3.066249 0.430078 0.013317
3.099905 0.389801 0.014549
3.132793 0.379592 0.013089
3.166142 0.419235 0.014152
3.200449 0.426497 0.013932
3.232745 0.429544 0.013771
3.266114 0.427883 0.014187
3.299520 0.416448 0.013945
3.332785 0.396479 0.013369
3.366106 0.417599 0.014224
3.399532 0.404477 0.013167
3.432773 0.378861 0.012797
3.466139 0.371519 0.012802
3.499387 0.407195 0.013668
3.532814 0.330951 0.010420
3.566022 0.418668 0.015204
3.605388 0.637506 0.023035
3.638597 0.272173 0.005971
3.665876 0.290432 0.011999
3.699279 0.386037 0.012467
3.732727 0.497145 0.015112
