seed 92ba159995c2e676
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
4.898507 0.101966 0.000800
4.915165 0.116875 0.003533
4.931733 0.122543 0.002190
4.948575 0.116630 0.001484
4.965140 0.112992 0.001808
4.981793 0.127399 0.002928
4.999664 0.141817 0.002672
5.015180 0.115260 0.000290
Speed: 20
0.016891 0.017769 0.000204
0.033385 0.017716 0.000267
0.050165 0.026380 0.001286
0.066783 0.006374 0.001247
0.083430 0.005746 0.000366
0.099880 0.004981 0.000277
0.116812 0.013335 0.000975
0.133485 0.077596 0.003792
0.149930 0.136809 0.002923
0.166857 0.231704 0.005479
0.183364 0.301160 0.003957
0.199912 0.342403 0.003751
0.216557 0.359372 0.003899
0.233275 0.361477 0.004476
0.249953 0.343763 0.004201
0.266536 0.335439 0.005435
0.283341 0.327876 0.005530
0.299834 0.296026 0.003924
0.316683 0.294643 0.005956
0.333269 0.293127 0.005344
0.349911 0.272129 0.003957
0.366507 0.284444 0.005976
0.383427 0.291577 0.005112
0.399866 0.285459 0.004317
0.416740 0.299648 0.005797
0.433131 0.335336 0.006702
0.449984 0.337951 0.004476
0.469340 0.352234 0.006050
0.483272 0.324422 0.003683
0.499844 0.333035 0.006574
0.519571 0.328610 0.005196
0.533186 0.343685 0.006706
0.553030 0.344269 0.005268
0.566532 0.315976 0.004062
0.586234 0.332464 0.006686
0.599888 0.318515 0.004655
0.619564 0.322321 0.005667
0.633159 0.315988 0.005191
0.651795 0.289135 0.004614
0.668674 0.281324 0.004908
0.683251 0.343058 0.007394
0.699771 0.360517 0.004677
0.716687 0.363195 0.004796
0.733230 0.365751 0.005524
0.749889 0.358124 0.005380
0.766559 0.361751 0.006219
0.784966 0.331170 0.004702
0.799666 0.339398 0.005773
0.816438 0.323304 0.004769
0.833073 0.311806 0.005130
0.849832 0.320995 0.006379
0.866340 0.302098 0.004140
0.883178 0.315399 0.006620
0.899656 0.312322 0.004803
0.916365 0.309267 0.005190
0.933081 0.330349 0.006388
0.949883 0.330896 0.004959
0.966250 0.338916 0.005767
0.986033 0.330054 0.004951
1.003947 0.314651 0.005029
1.016617 0.350339 0.007065
1.032819 0.342942 0.004495
1.052185 0.353813 0.005996
1.066727 0.345364 0.004863
1.083181 0.338856 0.005773
1.099716 0.351877 0.006368
1.116517 0.336213 0.004782
1.133005 0.338253 0.005775
1.149696 0.330611 0.005253
1.166277 0.331824 0.006327
1.182990 0.317067 0.004311
1.199721 0.296169 0.005362
1.216371 0.305786 0.005337
1.232914 0.301429 0.005475
1.249632 0.319936 0.005300
1.266301 0.324754 0.004927
1.282963 0.327256 0.005268
1.299513 0.341862 0.006175
1.316357 0.357773 0.006087
1.332915 0.351782 0.004899
1.349620 0.340348 0.005124
