seed dbaef12415b098dd
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
3.299489 0.360625 0.005892
3.315667 0.361228 0.005877
3.332804 0.322914 0.005191
3.348995 0.303453 0.004892
3.366187 0.314128 0.005588
3.382198 0.350432 0.006203
3.399902 0.395921 0.006900
3.416189 0.342060 0.005021
3.432149 0.278721 0.004114
3.448802 0.365159 0.007110
3.468900 0.317894 0.004767
3.482989 0.389297 0.007225
3.502989 0.346606 0.005165
3.515689 0.312587 0.004898
3.533382 0.282354 0.004660
3.549581 0.371288 0.007209
3.566347 0.357264 0.006709
3.582402 0.320508 0.004042
3.600447 0.351175 0.006509
3.618105 0.358382 0.006058
3.632197 0.387019 0.006398
3.649925 0.319646 0.004574
3.665505 0.329235 0.005685
3.682222 0.318218 0.005327
3.698834 0.325634 0.005661
3.715548 0.330248 0.005520
3.734176 0.343663 0.005981
3.748935 0.307876 0.004731
3.767850 0.345244 0.006246
3.782098 0.339591 0.005656
3.802047 0.281100 0.004310
3.815444 0.269861 0.004519
3.832214 0.341338 0.006595
3.848939 0.339760 0.005465
3.865452 0.379656 0.006514
3.882194 0.322825 0.004658
3.898804 0.296804 0.004781
3.915609 0.362402 0.006908
3.932966 0.311610 0.004639
3.948731 0.371623 0.006701
3.966171 0.360777 0.005774
3.983268 0.314642 0.004831
3.998785 0.371218 0.006807
4.018262 0.307766 0.004419
4.031964 0.370391 0.006887
4.049772 0.329528 0.005006
4.065320 0.314301 0.005158
4.088449 0.320059 0.005536
