seed 32e1d266378ee988
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
2.415025 0.340479 0.006804
2.432724 0.330297 0.004343
2.449582 0.295327 0.003319
2.468087 0.319780 0.007055
2.482567 0.309484 0.004204
2.503293 0.325874 0.006720
2.516192 0.298843 0.003222
2.532447 0.298843 0.000000
2.549053 0.273229 0.004929
2.565680 0.300528 0.012775
2.582451 0.280729 0.003414
2.599264 0.306709 0.007424
2.616807 0.299068 0.003903
2.632635 0.302244 0.005281
2.649659 0.301784 0.004873
2.665851 0.302987 0.005074
2.683044 0.308287 0.005377
2.699157 0.331970 0.006661
2.716043 0.327297 0.004548
2.732441 0.342875 0.005962
2.749365 0.335626 0.004462
2.765812 0.338977 0.005616
2.783682 0.328305 0.005265
2.799122 0.348353 0.006243
2.816239 0.342020 0.005069
2.832700 0.347849 0.005502
2.849445 0.350836 0.006756
2.865849 0.343520 0.004149
2.882559 0.312003 0.003648
2.899819 0.318296 0.006582
2.915864 0.313707 0.005274
2.932394 0.320428 0.006081
2.949166 0.304552 0.004887
2.965769 0.301284 0.004066
2.982548 0.286731 0.004959
2.998986 0.309273 0.006343
3.015779 0.306941 0.004482
3.032414 0.323185 0.006102
3.049025 0.324221 0.004779
3.065746 0.338615 0.006160
3.082403 0.347039 0.005653
3.098990 0.334513 0.004222
3.115801 0.320702 0.004658
3.132512 0.323291 0.006138
3.148995 0.297476 0.003571
3.165652 0.292712 0.005612
3.182422 0.301149 0.006220
3.198969 0.321715 0.006616
3.215662 0.302692 0.003252
3.232369 0.298178 0.005010
3.249335 0.316267 0.006934
3.265618 0.321629 0.005055
3.283174 0.299505 0.003795
3.298904 0.319209 0.005560
3.315558 0.319315 0.005307
3.332233 0.319315 0.000000
3.348872 0.329990 0.011044
3.365516 0.331342 0.004515
3.385048 0.344780 0.006387
3.398878 0.352230 0.005732
3.415851 0.351475 0.005269
3.432204 0.341786 0.004915
3.449075 0.336024 0.005647
3.465583 0.326017 0.005099
3.482199 0.321954 0.005657
3.498930 0.306859 0.004569
3.515651 0.309624 0.006163
3.532269 0.318988 0.006112
3.548962 0.282759 0.002434
3.565656 0.295706 0.006811
3.582424 0.299693 0.005404
3.598885 0.321127 0.006635
3.615765 0.325242 0.004912
3.632277 0.330465 0.005317
3.648887 0.332823 0.005268
3.665812 0.336306 0.005550
3.682182 0.352946 0.006645
3.706414 0.335267 0.003980
3.719195 0.322967 0.004967
3.732158 0.301811 0.005328
3.748802 0.325048 0.006405
3.765344 0.300527 0.003453
