seed 01fdaa37c4295026
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
2.233059 0.434179 0.013916
2.268466 0.420454 0.015080
2.299573 0.424680 0.013414
2.333670 0.372969 0.012634
2.366387 0.398017 0.013832
2.399668 0.412983 0.013333
2.433034 0.468231 0.015424
2.466300 0.470472 0.014624
2.499627 0.396986 0.013251
2.533116 0.417142 0.015145
2.566276 0.413123 0.013338
2.605335 0.351093 0.013781
2.632883 0.502766 0.014459
2.666235 0.504067 0.013704
2.699565 0.435668 0.014517
2.732848 0.359706 0.013081
2.766194 0.387418 0.014209
2.799544 0.418738 0.013434
2.832797 0.464078 0.014949
2.866118 0.445338 0.014012
2.899517 0.428676 0.014587
2.932761 0.415276 0.014086
2.966065 0.443244 0.014963
2.999453 0.398092 0.012743
3.032823 0.428946 0.015121
3.066043 0.405927 0.012942
3.099419 0.389730 0.013393
3.132789 0.416877 0.014176
3.166050 0.659713 0.021491
3.199452 0.315285 0.006488
3.232752 0.477106 0.021635
3.266001 0.477470 0.013143
3.299528 0.414925 0.013945
3.332803 0.129106 0.005037
3.365998 0.225702 0.012440
3.399430 0.468095 0.013918
3.432755 0.511419 0.013046
3.466059 0.691932 0.022273
3.499418 0.269029 0.006157
3.532733 0.151214 0.011750
3.566067 0.415084 0.015894
3.599372 0.505742 0.012335
3.632679 0.445437 0.013207
3.665918 0.356903 0.012983
3.699335 0.356604 0.013312
3.732707 0.393304 0.013147
3.766001 0.411858 0.013058
3.799286 0.389993 0.012672
3.832645 0.369003 0.012679
3.866039 0.380857 0.013075
3.899252 0.416350 0.013609
3.932609 0.430860 0.013747
3.966039 0.409596 0.013466
3.999310 0.460061 0.015624
4.032548 0.422713 0.013205
4.065919 0.371932 0.013034
4.099196 0.343468 0.012158
4.132531 0.402401 0.013994
4.165877 0.444380 0.013731
4.199163 0.438640 0.013897
4.232492 0.419074 0.014065
4.265905 0.396236 0.013543
4.299326 0.342718 0.011788
4.332533 0.397963 0.014135
4.365942 0.410599 0.012792
4.399154 0.424294 0.013871
4.432429 0.419573 0.013731
4.465800 0.419573 0.000000
4.499189 0.406959 0.027482
4.532441 0.383229 0.012842
4.565780 0.411345 0.014124
4.599145 0.393146 0.012616
4.632483 0.412387 0.014070
4.665797 0.380930 0.012364
4.699116 0.346951 0.012085
4.732339 0.359934 0.012509
4.765750 0.444808 0.014661
4.799121 0.396538 0.011797
4.832387 0.350412 0.012474
4.865776 0.431629 0.015385
4.899157 0.454651 0.013617
4.932445 0.426702 0.013950
4.965690 0.413277 0.014127
4.999073 0.392177 0.013319
5.032341 0.427048 0.014557

Speed: 40
0.033413 0.046776 0.001175
0.066617 0.053548 0.000860
0.099990 0.054115 0.000951
0.133369 0.025959 0.000124
0.172607 0.061496 0.003224
0.200213 0.348160 0.009207
0.233730 0.590924 0.013616
0.266995 0.529404 0.013639
0.300244 0.443605 0.015733
0.333600 0.524561 0.018937
0.367011 0.541439 0.016721
0.406839 0.444907 0.017430
0.433459 0.675766 0.018804
0.466709 0.672210 0.017591
0.506781 0.472713 0.019000
0.533418 0.650669 0.019098
0.566817 0.653899 0.018112
0.600003 0.575015 0.019009
0.633379 0.556244 0.019902
0.666786 0.547244 0.018563
0.700050 0.576668 0.019347
0.733363 0.594789 0.019304
0.766754 0.537567 0.017649
0.800145 0.576096 0.020192
0.833545 0.533356 0.017167
0.866737 0.580544 0.019982
0.900095 0.597279 0.019132
0.933365 0.510039 0.016690
0.966743 0.559719 0.020145
1.000044 0.542616 0.017237
1.033407 0.613549 0.020769
1.066799 0.545948 0.017044
1.100185 0.482578 0.017241
1.133360 0.617578 0.021537
1.166785 0.637647 0.019026
1.200097 0.566375 0.018552
1.233369 0.539144 0.019121
1.266744 0.572240 0.019551
1.300062 0.584850 0.018966
1.333328 0.550233 0.018123
1.367016 0.539174 0.018752
1.400324 0.559082 0.018807
1.433277 0.587309 0.019039
1.466647 0.617786 0.020132
1.500030 0.572566 0.018611
1.533309 0.623184 0.021471
1.566605 0.577889 0.018399
1.600010 0.584805 0.020285
1.633172 0.552553 0.018191
1.666447 0.544467 0.018655
1.706414 0.516309 0.020868
1.739128 0.623230 0.020780
1.766547 0.800390 0.020685
1.799901 0.650605 0.018109
1.833218 0.590422 0.022158
1.866415 0.531213 0.018623
1.899865 0.593362 0.020850
1.933396 0.596177 0.018926
1.966429 0.678801 0.022403
1.999821 0.627949 0.019542
2.033198 0.597920 0.020809
2.066396 0.571364 0.019459
2.099861 0.615440 0.021026
2.133236 0.670455 0.021695
2.166443 0.571241 0.018037
2.199728 0.653829 0.023420
2.233083 0.549290 0.016940
2.266344 0.642627 0.023106
2.306390 0.534845 0.019211
2.333136 0.714000 0.020082
2.366374 0.679494 0.018896
2.399791 0.565229 0.019447
2.433166 0.499622 0.018595
2.466610 0.574814 0.020321
2.499851 0.676616 0.021254
2.538016 0.509833 0.017257
2.566432 0.718089 0.022164
2.599586 0.668721 0.018142
2.633200 0.668721 0.000000
2.666372 0.573960 0.041638
2.699616 0.521618 0.018114
2.732974 0.517866 0.018169
2.766326 0.664124 0.022159
2.799585 0.640519 0.018885
2.832961 0.597088 0.020321
2.866275 0.602342 0.020786
2.899598 0.623144 0.020698
2.933008 0.635195 0.020852
2.966464 0.690726 0.022910
2.999787 0.557110 0.017632
3.035827 0.485083 0.020032
3.066074 0.624520 0.019828
3.099456 0.686965 0.020325
3.132656 0.627693 0.019793
3.165999 0.535184 0.018903
3.199407 0.593264 0.021301
3.232647 0.618053 0.019611
3.266002 0.511177 0.016520
3.299365 0.599503 0.021841
3.332617 0.693214 0.021452
3.366009 0.604222 0.018626
3.400045 0.604222 0.000000
3.432576 0.510320 0.039739
3.465846 0.553172 0.019186
3.499330 0.622594 0.020125
3.532538 0.564533 0.017602
3.565914 0.615812 0.021517
3.599322 0.586373 0.018799
3.632590 0.527276 0.017935
3.665789 0.471388 0.016650
3.699151 0.588150 0.020532
3.732552 0.652053 0.019834
3.765885 0.596152 0.018814
3.799074 1.748231 0.048438
3.832502 1.144167 0.017657
3.865730 0.510691 0.017503
3.899094 1.657147 0.041099
3.932459 0.704048 0.016427
3.967208 2.026137 0.043484
3.999731 1.700443 0.018213
4.033450 0.570628 0.018480
4.065835 0.868013 0.017082
4.099275 0.588586 0.019518
4.135425 0.694517 0.019469
4.165728 0.699727 0.018542
4.198971 0.545654 0.018447
4.232367 0.524933 0.018795
4.265663 0.595337 0.020196
4.298987 0.613481 0.019222
4.332310 0.552582 0.017833
4.365656 0.552324 0.019495
4.398933 0.579358 0.019280
4.432316 0.632439 0.020560
4.465632 0.591100 0.018884
4.498903 0.557241 0.019235
4.532272 0.548194 0.018786
4.565629 0.568491 0.019141
4.598849 0.558382 0.018310
4.632227 0.559393 0.018809
4.665581 0.531885 0.017652
4.698993 0.544038 0.018621
4.732186 0.595132 0.019672
4.765748 0.619182 0.019726
4.798828 0.519298 0.016941
4.832171 0.523232 0.019105
4.865521 0.559042 0.018559
4.898804 0.581368 0.018793
4.932136 0.592502 0.019378
4.965530 0.561529 0.018517
4.998737 0.552780 0.018915
5.032102 0.536700 0.018062

Speed: 50
0.031612 0.040411 0.002210
0.065000 0.029565 0.001523
0.098265 0.050532 0.002263
0.131617 0.058819 0.001904
0.165046 0.134177 0.003477
0.198216 0.423153 0.012819
0.231694 0.582750 0.014547
0.265097 0.612608 0.017802
0.298382 0.623059 0.020254
0.331668 0.608528 0.020063
0.365041 0.733727 0.024726
0.398718 0.650279 0.019777
0.431693 0.702200 0.024468
0.464942 0.735394 0.023618
0.498832 0.677537 0.022346
0.531484 0.693908 0.023566
0.565041 0.790968 0.026261
0.598297 0.788670 0.024623
0.631587 0.681099 0.022686
0.664973 0.741388 0.026549
0.698310 0.669957 0.021327
0.731554 0.724145 0.025236
0.764939 0.766826 0.024690
0.798270 0.734500 0.023760
0.831671 0.701132 0.023942
0.864944 0.698690 0.023804
0.898355 0.718248 0.024045
0.931620 0.688168 0.022557
0.964882 0.729741 0.024764
0.998339 0.760625 0.024752
1.031710 0.779993 0.025512
1.064899 0.799384 0.026214
1.098329 0.662323 0.021806
1.131774 0.614910 0.022861
1.164709 0.740538 0.025158
1.198128 0.819233 0.025248
1.231805 0.795091 0.025441
1.264730 0.690067 0.023110
1.298119 0.669663 0.024138
1.331474 0.769901 0.026021
1.364719 0.802299 0.025008
1.398131 0.768105 0.025121
1.431639 0.710482 0.024380
1.464659 0.735744 0.025230
1.501581 0.668856 0.024176
1.531257 0.851069 0.026052
1.564426 0.852324 0.024892
1.597868 0.753461 0.025179
1.631268 0.662317 0.023770
1.664457 0.711238 0.025102
1.697825 0.812186 0.026305
1.731249 0.805707 0.025251
1.764611 0.757229 0.025362
1.797957 0.728250 0.025093
1.831342 1.001239 0.033914
1.864684 0.598105 0.015454
1.897891 0.575356 0.025760
1.931291 0.694244 0.023562
1.964577 0.789025 0.024246
2.006392 0.660873 0.025191
2.037753 0.734416 0.024522
2.064596 0.954349 0.024774
2.097822 0.898753 0.025330
2.131255 0.652658 0.022756
2.164607 0.624396 0.024893
2.197765 0.760031 0.025689
2.231159 0.778980 0.023735
2.264522 0.773541 0.025495
2.297771 0.792889 0.026442
2.331147 0.744136 0.024516
2.364557 0.795182 0.027377
2.397763 0.818908 0.026350
2.430968 0.821697 0.026889
2.464309 0.757280 0.025220
2.497655 0.714272 0.024897
2.530933 0.674088 0.023129
2.564393 0.855180 0.029297
2.597721 0.771003 0.022676
2.630877 0.732090 0.025659
2.664314 0.774126 0.026537
2.697644 0.788931 0.025595
2.730884 0.790989 0.026048
2.764290 0.721069 0.024038
2.797666 0.775606 0.027136
2.830933 0.788245 0.025255
2.864304 0.776461 0.025698
2.897655 0.735157 0.024717
2.930901 0.753334 0.025665
2.964340 0.839886 0.027786
