seed c89f0fe1a3525e51
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
2.697374 0.140639 0.001738
2.714014 0.041537 0.000974
2.731279 0.084441 0.002110
2.747412 0.209588 0.003379
2.764288 0.187629 0.001822
2.780637 0.188749 0.003334
2.797240 0.098881 0.001627
2.813933 0.033175 0.000486
2.830665 0.107309 0.002840
2.847224 0.238039 0.002849
2.863897 0.197494 0.002271
2.880735 0.099461 0.002509
2.897133 0.111731 0.002148
2.914330 0.094099 0.001212
2.930468 0.129911 0.001696
2.947098 0.198156 0.002918
2.963845 0.228325 0.002966
2.980686 0.060540 0.000769
2.997143 0.199134 0.004725
3.018646 0.161691 0.001588
3.030461 0.133838 0.001306
3.048735 0.076604 0.002774
3.063674 0.116778 0.001781
3.081536 0.140002 0.001974
3.097121 0.208384 0.003234
3.113731 0.149638 0.001993
3.130493 0.109565 0.002078
3.147148 0.069890 0.001396
3.163642 0.118069 0.002342
3.180497 0.164606 0.002249
3.197076 0.081717 0.000964
3.213776 0.168299 0.003513
3.230345 0.212228 0.002857
3.247109 0.069104 0.000649
3.263897 0.084519 0.002389
3.280307 0.123589 0.002040
3.297247 0.138882 0.001835
3.313715 0.101781 0.001591
3.330339 0.199519 0.003693
3.347117 0.196642 0.002378
3.363654 0.070062 0.001172
3.380315 0.073533 0.001369
3.397043 0.088641 0.002070
3.413723 0.185846 0.002189
3.430923 0.161551 0.001863
3.447424 0.245163 0.004365
3.466118 0.122200 0.001063
3.480696 0.007663 0.000858
3.499377 0.025127 0.001490
3.514128 0.169070 0.002392
3.530323 0.164237 0.001565
3.548358 0.183629 0.003062
3.563725 0.168008 0.002603
3.582816 0.094790 0.001741
3.597043 0.110736 0.001781
3.616623 0.047417 0.001173
3.630285 0.112010 0.001870
3.646927 0.162050 0.002058
